date,weight
8/1/2026,160.1
8/2/2026,159.8
8/3/2026,160.1
8/4/2026,160.1
8/5/2026,160.1
8/6/2026,159.4
8/7/2026,160.3
8/8/2026,160.1
8/9/2026,161.4
8/10/2026,159.2
8/11/2026,160.7
8/12/2026,160.1
8/13/2026,160.5
8/14/2026,159.4
8/15/2026,159
